crop_id,crop_name,harvest_year,crop_area,uom_crop_area
1,Coffee,2020.0,0.5,Hectare (s)
2,Coffee,2023.0,1.0,Hectare (s)
3,Coffee,2023.0,2.0,Hectare (s)
4,Coffee,2020.0,0.73,Hectare (s)
5,Coffee,2023.0,1.9,Hectare (s)
6,Coffee,2023.0,0.5,Hectare (s)
7,Coffee,2023.0,3.0,Hectare (s)
8,Coffee,2023.0,2.0,
9,Coffee,2023.0,1.5,Hectare (s)
10,Coffee,,1.0,Hectare (s)
11,Coffee,2023.0,0.7,Hectare (s)
12,Coffee,2023.0,1.1,
13,Coffee,2023.0,1.0,
14,Coffee,2023.0,0.8,Hectare (s)
15,Coffee,2023.0,2.4,Hectare (s)
16,Coffee,2023.0,3.2,Hectare (s)
17,Coffee,2023.0,0.9,Hectare (s)
18,Coffee,2023.0,5.0,Hectare (s)
19,Coffee,2023.0,1.6,Hectare (s)
20,Coffee,2023.0,4.0,Hectare (s)
21,Coffee,2023.0,2.2,Hectare (s)
22,Coffee,2023.0,1.7,Hectare (s)
23,Coffee,2023.0,2.3,Hectare (s)
24,Coffee,2023.0,6.0,Hectare (s)
25,Coffee,2023.0,1.1,Hectare (s)
26,Coffee,2023.0,1.4,Hectare (s)
27,Coffee,2023.0,1.445,Hectare (s)
28,Coffee,2023.0,,Hectare (s)
29,Coffee,2023.0,1.95,Hectare (s)
30,Coffee,2023.0,3.9,Hectare (s)
31,Coffee,2023.0,0.3,Hectare (s)
32,Coffee,2023.0,7.5,Hectare (s)
33,Coffee,2023.0,2.55,Hectare (s)
34,Coffee,2023.0,2.99,Hectare (s)
35,Coffee,2023.0,0.4,Hectare (s)
36,Coffee,2023.0,0.96,Hectare (s)
37,Coffee,2023.0,1.2,Hectare (s)
38,Coffee,2023.0,0.34,Hectare (s)
39,Coffee,2022.0,0.5,Hectare (s)
40,Coffee,2023.0,0.54,Hectare (s)
41,Coffee,2023.0,2.5,Hectare (s)
42,Coffee,2023.0,5.25,Hectare (s)
43,Coffee,2023.0,3.4,Hectare (s)
44,Coffee,2023.0,1.8,Hectare (s)
45,Coffee,2023.0,2.9,Hectare (s)
46,Coffee,2023.0,1.3,Hectare (s)
47,Coffee,2023.0,2.95,Hectare (s)
48,Coffee,2023.0,5.0,
49,,,,
50,Coffee,2023.0,0.99,Hectare (s)
51,Coffee,2023.0,3.5,Hectare (s)
52,Coffee,2023.0,0.6,Hectare (s)
53,Coffee,2023.0,0.58,Hectare (s)
54,Coffee,2023.0,1.48,Hectare (s)
55,Coffee,2023.0,1.53,Hectare (s)
56,Coffee,2023.0,0.76,Hectare (s)
57,Coffee,2023.0,2.1,Hectare (s)
58,Coffee,2023.0,1.088,Hectare (s)
59,Coffee,2023.0,1.45,Hectare (s)
60,Coffee,2023.0,3.7,Hectare (s)
61,Coffee,2023.0,0.98,Hectare (s)
62,Coffee,2023.0,1.65,Hectare (s)
63,Coffee,2023.0,1.888,Hectare (s)
64,Coffee,2023.0,0.95,Hectare (s)
65,Coffee,2023.0,1.28,Hectare (s)
66,Coffee,2023.0,0.55,Hectare (s)
67,Coffee,2023.0,1.39,Hectare (s)
68,Coffee,,,
69,Coffee,2023.0,1.97,Hectare (s)
70,Coffee,2023.0,3.3,Hectare (s)
71,Coffee,2023.0,4.5,Hectare (s)
72,Coffee,2023.0,1.56,Hectare (s)
73,Coffee,2023.0,0.63,Hectare (s)
74,Coffee,2023.0,0.475,Hectare (s)
75,Coffee,2023.0,0.85,Hectare (s)
76,Coffee,2023.0,0.65,Hectare (s)
77,Coffee,2023.0,2.48,Hectare (s)
78,Coffee,2023.0,2.05,Hectare (s)
79,Coffee,2023.0,2.6,Hectare (s)
80,Coffee,2023.0,1.05,Hectare (s)
81,Coffee,2023.0,1.49,Hectare (s)
82,Coffee,2023.0,1.487,Hectare (s)
83,Coffee,2023.0,0.52,Hectare (s)
84,Coffee,2023.0,2.7,Hectare (s)
85,Coffee,2023.0,2.15,Hectare (s)
86,Tree Crop,2023.0,1.0,Hectare (s)
87,Coffee,2023.0,3.6,Hectare (s)
88,Coffee,2023.0,3.75,Hectare (s)
89,Coffee,2017.0,4.0,Hectare (s)
90,Coffee,2023.0,3.8,Hectare (s)
91,Coffee,2023.0,2.35,Hectare (s)
92,Coffee,2023.0,3.83,Hectare (s)
93,Coffee,2019.0,5.0,
94,Coffee,2023.0,3.1,Hectare (s)
95,Coffee,2023.0,0.697,Hectare (s)
96,Coffee,2023.0,4.2,Hectare (s)
97,Coffee,2023.0,0.46,Hectare (s)
98,Coffee,2023.0,2.8,Hectare (s)
